RecordID,fProfit
210,47539.2054478579
211,116970.604347348
212,52974.219622322
213,59405.6457242452
214,63437.7361418439
215,72993.3244465799
216,61372.8358693999
217,53060.7539040368
218,67349.1334372908
219,53839.0940232834
220,57928.1288904911
221,58196.6276401126
222,71612.08344385
223,63249.8768812104
224,112466.217867831
225,55499.106096345
226,72615.9504722445
227,51287.9069170125
228,61573.4880284131
229,52291.1985136353
230,62482.7874609443
231,64811.7283199324
232,63741.7999779969
233,120644.798003212
234,66252.1011542835
235,110760.184597479
236,84652.2654396487
237,69442.1023940005
238,70546.5384123876
239,61699.7802442939
240,49362.7741254564
241,61849.5318194512
242,58324.4491800324
243,68043.4805961051
244,67166.2171906462
245,65211.4419374656
246,67246.9332952128
247,62789.7374538076
248,67996.2900793655
249,60649.6607523865
250,62992.1671125402
251,58518.4480960711
252,66593.9891726524
253,122545.32620926
254,47617.1793074455
255,59905.7140609215
256,49827.4434109741
257,79200.4749844914
258,57995.3336550747
259,78195.7380410499
260,67438.6905766392
261,72869.9882098234
262,55242.0558387809
263,57343.1919935299
264,58234.8946606705
265,65187.0023124565
266,52828.2780970134
267,55042.2791267958
268,53771.3765605305
269,58822.4613307117
270,56675.7087071993
271,59955.3263872227
272,53159.273840632
273,56870.721193418
274,50799.8093962889
275,59688.1887793753
276,75383.4625529175
277,62818.4810196545
278,104111.828724143
279,65018.174883529
280,72867.1422261978
281,52852.386748311
282,66112.1632169443
283,59585.5656083842
284,61291.4791026717
285,72705.8611948938
286,60210.1409357609
287,50701.9962065532
288,55005.5268864399
289,51115.5107342482
290,54199.2238918742
291,63891.932707244
292,58406.8913581246
293,54989.9137485374
294,57307.7373156368
295,72391.1530275183
296,65236.3919797157
297,68443.2085604635
298,45342.4791186843
299,62686.0921843874
300,62609.0438149194
301,61035.7099751509
302,49282.8522126258
303,57464.6504606575
304,53183.7981719174
305,63045.5767179671
306,63491.4912286624
307,68565.9873666495
308,77309.9611697468
309,53938.5735403946
310,85863.8853910678
311,58023.641673068
312,61045.9403147906
313,72250.8661375032
314,52061.7058432971
315,67121.2012837676
316,54914.8733077972
317,51754.79902702
318,64648.0159680103
319,60602.5309548311
320,59681.2848956663
321,56036.1205534597
322,72471.6499076441
323,55168.5557800186
324,72793.9565137818
325,68495.8600311216
326,66444.1073052986
327,55378.746423611
328,60125.2315079658
329,84208.2194267072
330,54533.4976754993
331,53926.4451711527
332,63015.6737020468
333,62753.5223125864
334,79894.9139798815
335,59882.5455931611
336,56007.8824573922
337,63826.6273928347
338,73794.3488308824
339,61014.5406611523
340,58523.6927092587
341,61675.2770661195
342,64058.4593930817
343,98218.3453500401
344,63311.031985999
345,61106.6340664319
346,61090.0527283735
347,52046.0599299525
348,60051.6097866181
349,63384.3574492346
350,106111.436993418
351,61697.5240893745
352,55212.0216176676
353,47546.3760203666
354,71426.5163297005
355,57732.6048489866
356,60588.055261344
357,52704.3549011672
358,58092.2084900721
359,75447.6083783958
360,89896.5788677577
361,130703.304381118
362,54456.3197826657
363,60377.0516783077
364,57377.6021619894
365,63285.3333999123
366,58253.3473856658
367,48449.1961487794
368,49296.6412931295
369,69474.7664509309
370,56752.0516342177
371,57349.042485915
372,69155.3793395108
373,59635.3449358256
374,64925.3107886893
375,48310.6771254463
376,63625.3095231545
377,58026.2181496425
378,118096.367620315
379,73831.0078565209
380,53173.938667277
381,52947.6871834513
382,56986.7184550609
383,55412.7431649056
384,57597.1633270515
385,81461.8178040088
386,66558.8430908203
387,60942.223161595
388,53825.4636299471
389,67350.5866062834
390,56788.8383137299
391,59669.7532139356
